group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,1,SUI,Switzerland,Leo Gosling,SUILG18,,95,38
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,2,GRE,Greece,STEFANOS SAMARAS,GRESS22,,91,67
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,3,USA,United States of America,Alexander Montagu,USAAM247,,100,78
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,4,USA,United States of America,Pablo  Munoz Montes,USAPM201,,133,81
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,5,ITA,Italy,Leandro Scialpi,ITALS90,,121,83
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,6,ITA,Italy,Enrico Morina,ITAEM98,,121.8,89.8
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,7,SWE,Sweden,Alexander Gavelfält Forssén,SWEAG15,,134,106
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,8,TUR,Türkiye,Tayfun Türk,TURTT13,,156,117
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,9,CRO,Croatia,Lorenzo Bertolino,CROLB16,,172,128
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,10,ESP,Spain,Unai de Ugarte,ESPUD1,,212,136
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,11,GRE,Greece,Michail Akalestos,GREMA8,,190,137
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,12,ITA,Italy,Alessio  Lucantoni,ITAAL124,,213,137
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,13,TUR,Türkiye,Asilkan Öğüt,TURAO26,,228,152
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,14,ESP,Spain,Xuacu García,ESPXG9,,191,156
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,15,ESP,Spain,Ángel  Peñalver Párraga,ESPÁP86,,224,157
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,16,GRE,Greece,Orestis Papadimitriou,GREOP8,,216,168
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,17,KOR,Republic of Korea,Jiun Choi,KORJC7,,212,170
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,18,TUR,Türkiye,Arel Hangül,TURAH3,,228,174
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,19,GRE,Greece,Dimitrios Ntoulas,GREDN2,,218,179
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,20,GRE,Greece,Anastasis Papageorgiou,GREAP82,,243,184
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,21,SGP,Singapore,ian Gog,SGPIG2,,243,186
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,22,DEN,Denmark,Johan Højland,DENJH40,,239,186
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,23,GRE,Greece,Leonidas Kalpogiannakis,GRELK7,,259,188
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,24,USA,United States of America,Charles Julien,USACJ68,,234,190
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,25,TUR,Türkiye,Demir Saygın,TURDS19,,267,191
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,26,CRO,Croatia,Juraj Lencović,CROJL5,,265,201
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,27,TUR,Türkiye,Ahmet  Canakci,TURAC19,,269,208
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,28,ITA,Italy,Martino Paone Mittner,ITAMP306,,252,213
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,29,ITA,Italy,Marco Emanuele Aloisi,ITAMA137,,270,216
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,30,USA,United States of America,CHE LIU,CHNCL14,,294,218
youth,Class Youth World Championship,ILCA 4,ILCA 4 Youth Male,ILCA 4 Youth World Championships,USA202507JTY,2026-08-01,2026-08-09,"Aarhus, Denmark",https://sailing.org/regatta/ilca-4-youth-world-championships?ref=USA202507JTY,31,BRA,Brazil,TEODORO GUADAGNIN,BRATG6,,288,220
